handNumber,startRow,endRow,handUpdatedAt,handEdit,handEditTime,label,table,tableUpdatedAt,Cam,CamFile01name,CamFile01number,CamFile02name,CamFile02number,lastStreet,lastAction,workStatus,winners
1,3,24,2025-08-31,TRUE,2025. 9. 4,,T01,2025-08-31,camAa+camBa,camAa,1,camBa,2,flop,"Fish Bets 10,000",진행중,
1,25,36,2025-08-31,FALSE,,,T02,2025-08-31,camAa+camBa,camAa,3,camBa,4,river,Hero Checks,검토필요,
20,37,51,2025-08-31,FALSE,,,T03,2025-08-31,camAa+camBa,camAa,5,camBa,6,flop,V Raises pot,진행중,
21,52,64,2025-08-31,FALSE,,,T04,2025-08-31,camAa+camBa,camAa,7,camBa,8,preflop,Fish Checks,완료,
22,65,77,2025-08-31,FALSE,,,,,camAa+camBa,camAa,9,camBa,10,flop,"Rock Raises 50,000",진행중,
23,78,90,2025-08-31,FALSE,,,,,camAa+camBa,camAa,11,camBa,12,flop,Shark Checks,진행중,
22,91,104,2025-08-31,FALSE,,,,,camAa+camBa,camAa,13,camBa,14,turn,"Shark All In 50,000",완료,
24,105,126,2025-08-31,FALSE,,,,,camAa+camBa,camAa,15,camBa,16,flop,"Hero Bets 25,000",진행중,
25,127,146,2025-08-31,FALSE,,,,,camAa+camBa,camAa,17,camBa,18,flop,Rock All In pot,진행중,
1,147,159,2025-08-31,FALSE,,,,,camAa+camBa,camAa,19,camBa,20,river,V Calls pot,검토필요,
1,160,171,2025-08-31,FALSE,,,,,camAa+camBa,camAa,21,camBa,22,river,Hero Checks,완료,
26,172,183,2025-08-31,FALSE,,,,,camAa+camBa,camAa,23,camBa,24,river,Rock Folds,완료,
27,184,208,2025-08-31,FALSE,,,,,camAa+camBa,camAa,25,camBa,26,flop,Hero All In pot,진행중,
28,209,227,2025-08-31,FALSE,,,,,camAa+camBa,camAa,27,camBa,28,river,"Fish Raises 10,000",완료,
29,228,237,2025-08-31,FALSE,,,,,camAa+camBa,camAa,29,camBa,30,river,Shark Checks,완료,
30,238,257,2025-08-31,FALSE,,,,,camAa+camBa,camAa,31,camBa,32,preflop,Rock Folds,진행중,
31,258,275,2025-08-31,FALSE,,,,,camAa+camBa,camAa,33,camBa,34,river,Fish Checks,완료,
32,276,292,2025-08-31,FALSE,,,,,camAa+camBa,camAa,35,camBa,36,flop,Shark Checks,진행중,
33,293,299,2025-08-31,FALSE,,,,,camAa+camBa,camAa,37,camBa,38,preflop,"Hero Bets 25,000",진행중,
34,300,306,2025-08-31,FALSE,,,,,camAa+camBa,camAa,39,camBa,40,river,"Rock Raises 50,000",완료,
35,307,316,2025-08-31,FALSE,,,,,camAa+camBa,camAa,41,camBa,42,flop,V Checks,진행중,
36,317,328,2025-08-31,FALSE,,,,,camAa+camBa,camAa,43,camBa,44,turn,Hero Calls pot,진행중,
37,329,342,2025-08-31,FALSE,,,,,camAa+camBa,camAa,45,camBa,46,turn,Rock Folds,진행중,
38,343,354,2025-08-31,FALSE,,,,,camAa+camBa,camAa,47,camBa,48,river,Shark Checks,완료,
39,355,372,2025-08-31,FALSE,,,,,camAa+camBa,camAa,49,camBa,50,preflop,"Shark Bets 100,000",완료,
40,373,379,2025-08-31,FALSE,,,,,camAa+camBa,camAa,51,camBa,52,turn,Hero Folds,진행중,
41,380,386,2025-08-31,FALSE,,,,,camAa+camBa,camAa,53,camBa,54,preflop,V Folds,진행중,
42,387,393,2025-08-31,FALSE,,,,,camAa+camBa,camAa,55,camBa,56,river,"Shark All In 5,000",검토필요,
43,394,406,2025-08-31,FALSE,,,,,camAa+camBa,camAa,57,camBa,58,preflop,"V All In 25,000",진행중,
44,407,412,2025-08-31,FALSE,,,,,camAa+camBa,camAa,59,camBa,60,river,"Fish Raises 25,000",완료,
45,413,420,2025-08-31,FALSE,,,,,camAa+camBa,camAa,61,camBa,62,preflop,Rock Folds,진행중,
46,421,434,2025-08-31,FALSE,,,,,camAa+camBa,camAa,63,camBa,64,preflop,"V Calls 50,000",완료,
47,,,,FALSE,,,,,camAa+camBa,camAa,65,camBa,66,river,Hero Checks,완료,
48,,,,FALSE,,,,,camAa+camBa,camAa,67,camBa,68,flop,"Hero Calls 5,000",진행중,
49,,,,FALSE,,,,,camAa+camBa,camAa,69,camBa,70,turn,Shark All In pot,진행중,
50,,,,FALSE,,,,,camAa+camBa,camAa,71,camBa,72,flop,Fish Folds,진행중,
51,,,,FALSE,,,,,camAa+camBa,camAa,73,camBa,74,turn,Shark Checks,진행중,
52,,,,FALSE,,,,,camAa+camBa,camAa,75,camBa,76,river,"Shark Bets 10,000",완료,
53,,,,FALSE,,,,,camAa+camBa,camAa,77,camBa,78,turn,V Raises pot,진행중,
54,,,,FALSE,,,,,camAa+camBa,camAa,79,camBa,80,river,"Fish All In 5,000",완료,
55,,,,FALSE,,,,,camAa+camBa,camAa,81,camBa,82,turn,"V Bets 50,000",완료,
56,,,,FALSE,,,,,camAa+camBa,camAa,83,camBa,84,river,Rock All In pot,완료,
57,,,,FALSE,,,,,camAa+camBa,camAa,85,camBa,86,river,"Fish Bets 10,000",완료,
58,,,,FALSE,,,,,camAa+camBa,camAa,87,camBa,88,turn,"Rock Bets 5,000",완료,
59,,,,FALSE,,,,,camAa+camBa,camAa,89,camBa,90,river,V Checks,완료,
60,,,,FALSE,,,,,camAa+camBa,camAa,91,camBa,92,flop,Hero Folds,진행중,
61,665,680,2025-09-01,FALSE,2025. 9. 1 오전 3:45:52,,T02,2025-09-01,camAa+camBa,camAa,93,camBa,94,turn,"Hero Calls 100,000",진행중,
62,681,697,2025-09-01,FALSE,2025. 9. 1 오전 4:15:17,,T04,2025-09-01,camAa+camBa,camAa,95,camBa,96,flop,V Raises pot,진행중,
63,698,706,2025-09-01,FALSE,2025. 9. 1 오전 4:45:46,,T03,2025-09-01,camAa+camBa,camAa,97,camBa,98,flop,Hero Bets pot,진행중,
64,707,721,2025-09-01,FALSE,2025. 9. 1 오전 4:54:06,,T03,2025-09-01,camAa+camBa,camAa,99,camBa,100,flop,"Hero Raises 100,000",진행중,
65,722,735,2025-09-01,FALSE,2025. 9. 1 오전 5:22:12,HOLDEM,T04,2025-09-01,camAa+camBa,camAa,101,camBa,102,flop,"Fish All In 50,000",진행중,
66,736,747,2025-09-01,FALSE,2025. 9. 1 오전 5:55:43,HOLDEM,T03,2025-09-01,camAa+camBa,camAa,103,camBa,104,river,LEMMENS Calls 260000,완료,
67,748,762,2025-09-01,FALSE,2025. 9. 1 오전 6:26:00,HOLDEM,T03,2025-09-01,camAa+camBa,camAa,105,camBa,106,river,LEMMENS Calls 370000,완료,
68,763,777,2025-09-01,FALSE,2025. 9. 1 오전 6:33:57,HOLDEM,T02,2025-09-01,camAa+camBa,camAa,107,camBa,108,river,Jaewon Folds,완료,
69,778,783,2025-09-01,FALSE,2025. 9. 1 오전 6:39:27,HOLDEM,T02,2025-09-01,camAa+camBa,camAa,109,camBa,110,preflop,,완료,
70,784,798,2025-09-02,FALSE,2025. 9. 1 오후 7:13:45,HOLDEM,T02,2025-09-02,camAa+camBa,camAa,111,camBa,112,river,Jaewon Calls 450000,완료,
71,799,814,2025-09-02,FALSE,2025. 9. 1 오후 7:20:33,HOLDEM,T04,2025-09-02,camAa+camBa,camAa,113,camBa,114,river,Leo Calls 340000,완료,
72,815,830,2025-09-02,FALSE,2025. 9. 1 오후 7:47:57,HOLDEM,T04,2025-09-02,camAa+camBa,camAa,115,camBa,116,river,Richie All In 680000,완료,
73,831,841,2025-09-02,FALSE,2025. 9. 1 오후 8:03:19,HOLDEM,T03,2025-09-02,camAa+camBa,camAa,117,camBa,118,river,Leo CALL 340000,완료,
74,842,857,2025-09-03,FALSE,2025. 9. 3 오전 3:23:40,HOLDEM,T04,2025-09-03,camAa+camBa,camAa,118,camBa,119,preflop,Mike Calls 730000,완료,
75,858,871,2025-09-04,FALSE,2025. 9. 3 오후 7:47:25,HOLDEM,T03,2025-09-04,camAa+camBa,camAa,2,camBa,3,river,MCDERMOTT Calls 25000,완료,
76,872,891,2025-09-04,FALSE,2025. 9. 3 오후 8:31:35,HOLDEM,T04,2025-09-04,camAa+camBa,camAa,3,camBa,4,river,Mike All In 30000,완료,
77,892,911,2025-09-04,FALSE,2025. 9. 3 오후 8:45:29,HOLDEM,T04,2025-09-04,camAa+camBa,camAa,4,camBa,5,river,Hunter Folds,완료,
78,912,925,2025-09-04,FALSE,2025. 9. 3 오후 10:28:20,HOLDEM,T01,2025-09-04,camAa+camBa,camAa,5,camBa,6,turn,V02 Calls 6000,완료,
79,926,938,2025-09-04,FALSE,2025. 9. 3 오후 10:45:10,HOLDEM,T04,2025-09-04,camAa+camBa,camAa,6,camBa,7,river,Mike Calls 340000,완료,
80,939,955,2025-09-04,FALSE,2025. 9. 3 오후 10:57:21,HOLDEM,T02,2025-09-04,camAa+camBa,camAa,7,camBa,8,river,Jaewon Calls 826000,완료,
81,956,971,2025-09-04,FALSE,2025. 9. 3 오후 10:57:21,HOLDEM,T03,2025-09-04,camAa+camBa,camAa,8,camBa,9,river,CALONGE Calls 530000,완료,
82,972,986,2025-09-05,FALSE,,HOLDEM,T02,2025-09-05,camAa+camBa,camAa,9,camBa,10,river,Jaewon Folds,완료,
83,987,1002,2025-09-05,FALSE,,HOLDEM,T03,2025-09-05,camAa+camBa,camAa,119,camBa,120,river,MCDERMOTT All In 754000,완료,
84,1003,1018,2025-09-05,FALSE,,HOLDEM,T02,2025-09-05,camAa+camBa,camAa,120,camBa,121,preflop,Jaewon All In 110000,완료,
85,1019,1033,2025-09-05,FALSE,,HOLDEM,T03,2025-09-05,camAa+camBa,camAa,121,camBa,122,river,LEMMENS Calls 65000,완료,
86,1034,1047,2025-09-05,FALSE,,HOLDEM,T01,2025-09-05,camAa+camBa,camAa,122,camBa,123,preflop,Notable All In 802000,완료,
87,1048,1061,2025-09-05,FALSE,,HOLDEM,T02,2025-09-05,camAa+camBa,camAa,123,camBa,124,river,Naomi Calls 6000,완료,
88,1062,1076,2025-09-05,TRUE,2025. 9. 5,HOLDEM,T03,2025-09-05,camAa+camBa,camAa,124,camBa,125,river,LEMMENS Calls 15000,완료,
89,1077,1089,2025-09-05,FALSE,,HOLDEM,T02,2025-09-05,camAa+camBa,camAa,125,camBa,126,preflop,Naomi Calls 134000,완료,
90,1090,1105,2025-09-05,TRUE,2025. 9. 6,HOLDEM,T03,2025-09-05,camAa+camBa,camAa,126,camBa,127,river,WAGNER Calls 90000,완료,
91,1106,1119,2025-09-05,TRUE,2025. 9. 5,HOLDEM,T03,2025-09-05,camAa+camBa,camAa,127,camBa,128,river,LEMMENS Folds,완료,
92,1120,1133,2025-09-08,FALSE,,HOLDEM,T06,2025-09-08,camAa+camBa,camAa,128,camBa,129,turn,Megerdichian Calls 24500,완료,
93,1134,1148,2025-09-08,,2025. 9. 8 오전 12:59:41,HOLDEM,T07,2025-09-08,camAa+camBa,camAa,129,camBa,130,preflop,CADA All In 0,완료,
94,1149,1162,2025-09-08,,2025. 9. 8 오전 1:12:07,HOLDEM,T08,2025-09-08,camAa+camBa,camAa,1,camBa,2,flop,HELLMUTH All In 30000,완료,
95,1163,1181,2025-09-08,,2025. 9. 8 오전 1:25:19,HOLDEM,T09,2025-09-08,camAa+camBa,camAa,1,camBa,2,river,TROCCOLI Folds,완료,
96,1182,1194,2025-09-08,,2025. 9. 8 오전 1:52:25,HOLDEM,T10,2025-09-08,camAa+camBa,camAa,130,camBa,131,preflop,ZAOUI Calls 18000,완료,
97,1195,1208,2025-09-08,,2025. 9. 8 오전 3:15:07,HOLDEM,T12,2025-09-08,camAa+camBa,camAa,131,camBa,132,turn,IACOFANO Calls 22300,완료,
98,1209,1213,2025-09-10,,2025. 9. 10 오전 12:10:13,HOLDEM,T06,2025-09-10,camAa+camBa,camAa,132,camBa,133,preflop,,완료,
99,1214,1218,2025-09-10,,2025. 9. 10 오전 12:30:00,HOLDEM,T07,2025-09-10,camAa+camBa,camAa,133,camBa,134,preflop,,완료,
100,1219,1239,2025-09-11,,2025. 9. 10 오후 8:05:39,HOLDEM,T07,2025-09-11,camAa+camBa,camAa,122,camBa,125,river,CADA Calls 40000,완료,
101,1240,1262,2025-09-11,,2025. 9. 10 오후 10:18:16,HOLDEM,T09,2025-09-11,camAa+camBa,camAa,134,camBa,135,river,TROCCOLI Folds,완료,
102,1263,1279,2025-09-12,,2025. 9. 11 오후 11:18:40,HOLDEM,T10,2025-09-12,camAa+camBa,camAa,135,camBa,136,river,ZAOUI All In 920000,완료,
103,1280,1295,2025-09-12,,2025. 9. 11 오후 11:23:01,HOLDEM,T06,2025-09-12,camAa+camBa,camAa,135,camBa,136,preflop,CADA CALL 40000,완료,
104,1296,1313,2025-09-12,,2025. 9. 12 오전 4:09:47,HOLDEM,Table03,2025-09-12,camAa+camBa,camAa,136,camBa,137,turn,V04 Calls 3500,완료,
105,1314,1327,2025-09-12,,2025. 9. 12 오전 4:20:00,HOLDEM,Table03,2025-09-12,camAa+camBa,camAa,137,camBa,138,flop,SOHEE Checks,완료,
106,1329,1341,2025-09-12,,2025. 9. 12 오전 4:35:36,HOLDEM,Table03,2025-09-12,camAa+camBa,camAa,137,camBa,138,flop,SOHEE Folds,완료,
107,1342,1352,2025-09-12,,2025. 9. 12 오전 4:53:58,HOLDEM,Table13,2025-09-12,camAa+camBa,camAa,139,camBa,140,flop,,완료,
108,1353,1370,2025-09-12,,2025. 9. 12 오전 4:58:06,HOLDEM,Table04,2025-09-12,camAa+camBa,camAa,138,camBa,139,preflop,V02 Folds,완료,
109,1371,1386,2025-09-12,,2025. 9. 12 오전 5:01:16,HOLDEM,Table02,2025-09-12,camAa+camBa,camAa,140,camBa,141,river,SHAHINA Checks,완료,
110,1387,1400,2025-09-12,,2025. 9. 12 오전 5:04:11,HOLDEM,Table04,2025-09-12,camAa+camBa,camAa,140,camBa,141,flop,SOHEE Bets 3500,완료,
111,1401,1417,2025-09-12,,2025. 9. 12 오전 5:06:05,HOLDEM,Table04,2025-09-12,camAa+camBa,camAa,141,camBa,142,river,V02 Folds,완료,
112,1418,1430,2025-09-12,,2025. 9. 12 오전 5:09:45,HOLDEM,Table03,2025-09-12,camAa+camBa,camAa,142,camBa,143,river,SOHEE Calls 4000,완료,
113,1431,1449,2025-09-12,,2025. 9. 12 오전 5:14:07,HOLDEM,Table04,2025-09-12,camAa+camBa,camAa,142,camBa,143,river,V02 Folds,완료,
114,1450,1464,2025-09-12,,2025. 9. 12 오전 5:22:54,HOLDEM,Table13,2025-09-12,camAa+camBa,camAa,143,camBa,144,turn,V02 Folds,완료,
115,1476,1492,2025-09-12,,2025. 9. 12 오전 6:50:26,HOLDEM,Table02,2025-09-12,camAa+camBa,camAa,144,camBa,145,river,DAVID Folds,완료,
116,1504,1517,2025-09-12,,2025. 9. 12 오전 7:24:30,HOLDEM,Table02,2025-09-12,camAa+camBa,camAa,145,camBa,146,turn,,완료,
117,1518,1536,2025-09-12,,2025. 9. 12 오전 7:34:35,HOLDEM,Table02,2025-09-12,camAa+camBa,camAa,147,camBa,148,river,V08 Calls NaN,완료,
118,1537,1552,2025-09-12,,2025. 9. 12 오전 7:40:20,HOLDEM,Table03,2025-09-12,camAa+camBa,camAa,147,camBa,148,turn,SOHEE Checks,완료,
119,1553,1571,2025-09-12,,2025. 9. 12 오전 7:53:00,HOLDEM,Table03,2025-09-12,camAa+camBa,camAa,148,camBa,149,river,V03 Checks,완료,
120,1572,1586,2025-09-15,,2025. 9. 14 오후 11:40:29,HOLDEM,T02,2025-09-15,camAa+camBa,camAa,149,camBa,150,river,Naomi Calls 48000,완료,
121,1587,1602,2025-09-15,,2025. 9. 15 오전 1:15:12,HOLDEM,T01,2025-09-15,camAa+camBa,camAa,150,camBa,151,river,V02 Folds,완료,
122,1603,1625,2025-09-15,,2025. 9. 15 오전 1:45:00,HOLDEM,Table13,2025-09-15,camAa+camBa,camAa,151,camBa,152,turn,V04 All In 7400,완료,
123,1626,1637,2025-09-15,,2025. 9. 15 오전 5:06:49,HOLDEM,915T04,2025-09-15,camAa+camBa,camAa,152,camBa,153,preflop,,진행중,
124,1638,1652,2025-09-15,,2025. 9. 15 오전 5:08:08,HOLDEM,915T04,2025-09-15,camAa+camBa,camAa,152,camBa,153,river,SOHEE Calls 15000,완료,
125,1653,1672,2025-09-15,,2025. 9. 15 오전 5:50:44,HOLDEM,915T05,2025-09-15,camAa+camBa,camAa,154,camBa,155,river,V02 Folds,검토필요,
